2022-02-15_01-22-14;0176;1632.604
2021-02-15_01-22-14;0595;1794.431
2020-02-16_01-22-14;0551;1091.488
2019-02-16_01-22-14;0984;1157.809
2018-02-16_01-22-14;0368;1774.227
2017-02-16_01-22-14;0175;1364.675
2016-02-17_01-22-14;0852;1651.359
2015-02-17_01-22-14;0701;1290.411
2014-02-17_01-22-14;0443;1360.525
2013-02-17_01-22-14;0540;1091.869
2012-02-18_01-22-14;0631;1738.908
2011-02-18_01-22-14;0562;1131.432
2010-02-18_01-22-14;0698;1485.622
2009-02-18_01-22-14;0243;1695.613
2008-02-19_01-22-14;0284;1849.368
2007-02-19_01-22-14;0366;1422.592
2006-02-19_01-22-14;0879;1192.492
2005-02-19_01-22-14;0951;1072.748
2004-02-20_01-22-14;0523;1235.481
2003-02-20_01-22-14;0215;1248.387
2002-02-20_01-22-14;0498;1742.726
2001-02-20_01-22-14;0894;1548.360
2000-02-21_01-22-14;0432;1252.810
1999-02-21_01-22-14;0344;1729.780
1998-02-21_01-22-14;0508;1043.577
1997-02-21_01-22-14;0485;1475.271
1996-02-22_01-22-14;0286;1629.907
1995-02-22_01-22-14;0903;1925.634
1994-02-22_01-22-14;0066;1852.446
1993-02-22_01-22-14;0729;1052.086
