2023-02-12_05-16-27;0951;1260.215
2023-02-12_02-52-27;0014;1157.414
2023-02-12_12-28-27;0609;1772.157
2023-02-12_10-04-27;0831;1641.203
2023-02-12_07-40-27;0713;1966.245
2023-02-12_05-16-27;0681;1623.657
2023-02-12_02-52-27;0384;1487.402
2023-02-12_12-28-27;0900;1413.608
2023-02-11_10-04-27;0309;1654.651
2023-02-11_07-40-27;0625;1914.412
2023-02-11_05-16-27;0887;1902.445
2023-02-11_02-52-27;0209;1676.985
2023-02-11_12-28-27;0508;1530.433
2023-02-11_10-04-27;0781;1319.789
2023-02-11_07-40-27;0288;1300.568
2023-02-11_05-16-27;0413;1707.889
2023-02-11_02-52-27;0651;1651.171
2023-02-11_12-28-27;0004;1272.306
2023-02-10_10-04-27;0189;1887.684
2023-02-10_07-40-27;0505;1357.988
2023-02-10_05-16-27;0821;1631.806
2023-02-10_02-52-27;0131;1731.683
2023-02-10_12-28-27;0966;1639.239
2023-02-10_10-04-27;0942;1048.304
2023-02-10_07-40-27;0136;1613.966
2023-02-10_05-16-27;0424;1395.040
2023-02-10_02-52-27;0489;1467.469
2023-02-10_12-28-27;0177;1026.189
2023-02-09_10-04-27;0140;1632.150
2023-02-09_07-40-27;0219;1471.147
2023-02-09_05-16-27;0591;1599.333
2023-02-09_02-52-27;0997;1247.905
2023-02-09_12-28-27;0848;1081.436
2023-02-09_10-04-27;0755;1816.037
2023-02-09_07-40-27;0455;1982.032
2023-02-09_05-16-27;0570;1083.536
2023-02-09_02-52-27;0818;1269.288
2023-02-09_12-28-27;0905;1741.435
2023-02-08_10-04-27;0523;1286.779
2023-02-08_07-40-27;0742;1663.943
2023-02-08_05-16-27;0796;1467.768
2023-02-08_02-52-27;0028;1733.088
2023-02-08_12-28-27;0651;1944.749
2023-02-08_10-04-27;0494;1128.614
2023-02-08_07-40-27;0587;1716.066
2023-02-08_05-16-27;0408;1071.235
2023-02-08_02-52-27;0027;1259.791
2023-02-08_12-28-27;0097;1425.068
2023-02-07_10-04-27;0634;1536.808
2023-02-07_07-40-27;0245;1990.458
2023-02-07_05-16-27;0906;1508.949
2023-02-07_02-52-27;0622;1094.741
2023-02-07_12-28-27;0457;1308.680
2023-02-07_10-04-27;0209;1187.733
2023-02-07_07-40-27;0736;1926.761
2023-02-07_05-16-27;0762;1581.306
2023-02-07_02-52-27;0626;1046.980
2023-02-07_12-28-27;0386;1980.666
2023-02-06_10-04-27;0391;1308.416
2023-02-06_07-40-27;0047;1078.998
2023-02-06_05-16-27;0602;1444.184
2023-02-06_02-52-27;0288;1553.922
2023-02-06_12-28-27;0863;1787.171
2023-02-06_10-04-27;0362;1649.609
2023-02-06_07-40-27;0166;1183.989
2023-02-06_05-16-27;0605;1073.154
2023-02-06_02-52-27;0455;1053.780
2023-02-06_12-28-27;0589;1212.296
2023-02-05_10-04-27;0718;1985.056
2023-02-05_07-40-27;0627;1135.767
2023-02-05_05-16-27;0573;1010.000
2023-02-05_02-52-27;0357;1879.405
2023-02-05_12-28-27;0313;1903.570
2023-02-05_10-04-27;0754;1013.477
2023-02-05_07-40-27;0112;1921.846
2023-02-05_05-16-27;0052;1584.549
2023-02-05_02-52-27;0117;1521.193
2023-02-05_12-28-27;0670;1802.972
2023-02-04_10-04-27;0458;1704.377
2023-02-04_07-40-27;0098;1121.922
2023-02-04_05-16-27;0668;1700.378
2023-02-04_02-52-27;0115;1112.474
2023-02-04_12-28-27;0207;1182.799
2023-02-04_10-04-27;0903;1285.493
2023-02-04_07-40-27;0509;1146.616
2023-02-04_05-16-27;0126;1246.884
2023-02-04_02-52-27;0026;1850.801
2023-02-04_12-28-27;0309;1277.772
2023-02-03_10-04-27;0024;1165.998
2023-02-03_07-40-27;0631;1201.262
2023-02-03_05-16-27;0800;1697.719
2023-02-03_02-52-27;0497;1570.797
2023-02-03_12-28-27;0839;1700.671
2023-02-03_10-04-27;0036;1725.033
2023-02-03_07-40-27;0651;1273.919
2023-02-03_05-16-27;0399;1953.379
2023-02-03_02-52-27;0324;1351.859
2023-02-03_12-28-27;0424;1365.283
2023-02-02_10-04-27;0033;1530.198
2023-02-02_07-40-27;0004;1158.672
2023-02-02_05-16-27;0178;1810.592
2023-02-02_02-52-27;0407;1017.921
2023-02-02_12-28-27;0898;1914.475
2023-02-02_10-04-27;0031;1171.373
2023-02-02_07-40-27;0371;1348.640
2023-02-02_05-16-27;0600;1108.052
2023-02-02_02-52-27;0520;1753.969
2023-02-02_12-28-27;0593;1925.171
2023-02-01_10-04-27;0472;1041.922
2023-02-01_07-40-27;0463;1829.493
2023-02-01_05-16-27;0463;1441.690
2023-02-01_02-52-27;0395;1226.410
2023-02-01_12-28-27;0065;1095.266
2023-02-01_10-04-27;0679;1404.340
2023-02-01_07-40-27;0611;1599.241
2023-02-01_05-16-27;0976;1641.276
2023-02-01_02-52-27;0997;1151.574
2023-02-01_12-28-27;0779;1066.190
2023-01-31_10-04-27;0504;1675.393
2023-01-31_07-40-27;0367;1211.428
2023-01-31_05-16-27;0885;1085.141
2023-01-31_02-52-27;0857;1368.820
2023-01-31_12-28-27;0720;1273.123
2023-01-31_10-04-27;0891;1799.790
2023-01-31_07-40-27;0095;1945.731
2023-01-31_05-16-27;0634;1225.778
2023-01-31_02-52-27;0916;1913.085
2023-01-31_12-28-27;0350;1493.774
2023-01-30_10-04-27;0356;1867.717
2023-01-30_07-40-27;0628;1691.206
2023-01-30_05-16-27;0391;1310.802
2023-01-30_02-52-27;0410;1650.812
2023-01-30_12-28-27;0527;1380.841
2023-01-30_10-04-27;0782;1754.837
2023-01-30_07-40-27;0005;1276.763
2023-01-30_05-16-27;0319;1276.191
2023-01-30_02-52-27;0720;1744.310
2023-01-30_12-28-27;0382;1767.273
2023-01-29_10-04-27;0644;1133.063
2023-01-29_07-40-27;0769;1995.375
2023-01-29_05-16-27;0393;1588.273
2023-01-29_02-52-27;0063;1618.923
2023-01-29_12-28-27;0086;1182.629
2023-01-29_10-04-27;0612;1030.384
2023-01-29_07-40-27;0422;1968.790
2023-01-29_05-16-27;0478;1432.446
2023-01-29_02-52-27;0735;1909.497
2023-01-29_12-28-27;0608;1912.150
2023-01-28_10-04-27;0259;1899.404
2023-01-28_07-40-27;0075;1753.313
2023-01-28_05-16-27;0699;1334.317
2023-01-28_02-52-27;0591;1091.241
2023-01-28_12-28-27;0481;1107.127
